MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"3","삼척","청소년","출장","14","관리자","3등급","20230601","M"
"4","의정부","어르신","일반","65","관리자","2등급","20230601","M"
"1","원주","청소년","출장","13","관리자","참가","20230601","M"
"3","삼척","청소년","출장","15","관리자","참가","20230601","F"
"1","원주","청소년","출장","13","관리자","참가","20230601","M"
"1","원주","유소년","출장","12","관리자","참가","20230601","F"
"1","원주","유소년","출장","12","관리자","참가","20230601","F"
"1","서구(대전)","청소년","출장","18","관리자","참가","20230601","M"
"2","KSPO송파(출장B)","성인","출장","36","관리자","참가","20230601","F"
"1","KSPO송파(출장A)","성인","출장","36","관리자","참가","20230601","F"
"1","동구(부산)","청소년","출장","18","관리자","2등급","20230601","M"
"1","원주","청소년","출장","13","관리자","참가","20230601","F"
"1","원주","청소년","출장","13","관리자","참가","20230601","M"
"1","원주","유소년","출장","12","관리자","참가","20230601","F"
"1","동구(인천)","성인","출장","45","관리자","3등급","20230601","M"
"1","동구(부산)","청소년","출장","18","관리자","3등급","20230601","M"
"1","동구(부산)","청소년","출장","18","관리자","참가","20230601","M"
"1","원주","청소년","출장","13","관리자","3등급","20230601","F"
"1","KSPO대구(출장A)","청소년","출장","17","관리자","참가","20230601","M"
"4","동구(인천)","성인","출장","40","관리자","참가","20230601","M"
"1","원주","청소년","출장","13","관리자","참가","20230601","F"
"1","동구(부산)","청소년","출장","18","관리자","참가","20230601","M"
"3","삼척","청소년","출장","14","관리자","2등급","20230601","F"
"1","사천","성인","출장","47","관리자","참가","20230601","M"
"1","사천","성인","일반","54","관리자","3등급","20230601","F"
"1","군산","어르신","출장","76","관리자","참가","20230601","F"
"1","KSPO대구","성인","일반","39","관리자","3등급","20230601","F"
"1","강릉","성인","일반","59","관리자","3등급","20230601","F"
"1","원주","유소년","출장","12","관리자","참가","20230601","M"
"1","원주","유소년","출장","12","관리자","참가","20230601","M"
"1","원주","유소년","출장","12","관리자","참가","20230601","F"
"2","스포원(금정)","성인","출장","19","관리자","참가","20230601","F"
"1","동구(부산)","성인","출장","21","관리자","참가","20230601","F"
"1","원주","유소년","출장","12","관리자","참가","20230601","F"
"3","삼척","청소년","출장","15","관리자","참가","20230601","M"
"2","KSPO송파(출장B)","성인","출장","31","관리자","참가","20230601","M"
"1","영암","성인","일반","27","관리자","참가","20230601","M"
"1","천안","성인","일반","41","관리자","3등급","20230601","M"
"1","동작","성인","일반","19","관리자","참가","20230601","M"
"1","동구(부산)","청소년","출장","18","관리자","참가","20230601","M"
"2","북구(광주)","성인","일반","57","관리자","3등급","20230601","F"
"1","사상","청소년","출장","14","관리자","3등급","20230601","M"
"9","남구(울산)","청소년","일반","18","관리자","2등급","20230601","M"
"1","군산","어르신","출장","73","관리자","참가","20230601","F"
"1","포천","유소년","일반","11","관리자","참가","20230601","F"
"3","삼척","청소년","출장","14","관리자","참가","20230601","F"
"0","군산","어르신","출장","81","관리자","2등급","20230601","F"
"3","삼척","청소년","출장","14","관리자","3등급","20230601","M"
"3","삼척","청소년","출장","14","관리자","참가","20230601","F"
"1","사상","청소년","출장","13","관리자","참가","20230601","M"
"1","사상","청소년","출장","14","관리자","참가","20230601","M"
"1","사상","청소년","출장","14","관리자","참가","20230601","M"
"1","사상","청소년","출장","13","관리자","참가","20230601","M"
"1","사상","청소년","출장","14","관리자","3등급","20230601","M"
"1","포항","어르신","일반","67","관리자","3등급","20230601","M"
"2","원주","청소년","출장","14","관리자","참가","20230601","M"
"1","포항","성인","일반","64","관리자","3등급","20230601","M"
"3","사천","성인","출장","40","관리자","2등급","20230601","M"
"1","사상","청소년","출장","13","관리자","참가","20230601","M"
"2","강릉","성인","일반","54","관리자","참가","20230601","F"
"1","달서","성인","일반","58","관리자","2등급","20230601","M"
"1","진천","유소년","출장","11","관리자","참가","20230601","M"
