MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","삼척","성인","출장","34","관리자","참가","20230501","M"
"1","삼척","성인","출장","48","관리자","참가","20230501","M"
"1","성남","청소년","출장","16","관리자","1등급","20230501","M"
"1","성남","청소년","출장","15","관리자","참가","20230501","F"
"0","서구(광주)","성인","출장","54","관리자","2등급","20230501","F"
"0","서구(광주)","성인","출장","52","관리자","참가","20230501","M"
"0","서구(광주)","성인","출장","40","관리자","참가","20230501","M"
"0","서구(광주)","성인","출장","62","관리자","참가","20230501","F"
"1","성남","청소년","출장","16","관리자","참가","20230501","F"
"2","서구(광주)","유소년","출장","11","관리자","3등급","20230501","M"
"1","성남","청소년","출장","15","관리자","참가","20230501","M"
"1","성남","청소년","출장","15","관리자","참가","20230501","F"
"1","양평","청소년","출장","13","관리자","3등급","20230501","F"
"1","양평","유소년","출장","12","관리자","2등급","20230501","F"
"3","성남","청소년","출장","18","관리자","참가","20230501","F"
"6","성남","청소년","출장","17","관리자","참가","20230501","F"
"3","성남","청소년","출장","17","관리자","참가","20230501","F"
"3","성남","청소년","출장","16","관리자","2등급","20230501","F"
"3","성남","청소년","출장","16","관리자","참가","20230501","F"
"2","사하","청소년","출장","17","관리자","3등급","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","1등급","20230501","F"
"3","성남","청소년","출장","17","관리자","참가","20230501","M"
"3","성남","청소년","출장","18","관리자","참가","20230501","M"
"1","성남","청소년","출장","15","관리자","참가","20230501","F"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","서구(광주)","성인","출장","62","관리자","참가","20230501","M"
"1","나주","성인","출장","22","관리자","2등급","20230501","M"
"3","성남","청소년","출장","16","관리자","3등급","20230501","F"
"1","동작","성인","일반","24","관리자","참가","20230501","M"
"3","성남","청소년","출장","17","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","F"
"3","성남","청소년","출장","17","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","성남","청소년","출장","17","관리자","참가","20230501","F"
"6","성남","청소년","출장","18","관리자","3등급","20230501","F"
"1","강북","성인","일반","25","관리자","참가","20230501","F"
"4","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","F"
"3","성남","청소년","출장","17","관리자","참가","20230501","M"
"5","성남","청소년","출장","16","관리자","1등급","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","F"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","M"
"1","양평","유소년","출장","12","관리자","2등급","20230501","M"
"3","성남","청소년","출장","17","관리자","참가","20230501","F"
"3","성남","청소년","출장","16","관리자","2등급","20230501","F"
"3","성남","청소년","출장","16","관리자","참가","20230501","F"
"1","양평","청소년","출장","13","관리자","참가","20230501","M"
"2","서구(광주)","성인","일반","64","관리자","참가","20230501","F"
"1","성남","청소년","출장","15","관리자","참가","20230501","M"
"1","성남","청소년","출장","15","관리자","참가","20230501","M"
"0","서구(광주)","성인","출장","50","관리자","참가","20230501","F"
"3","성남","청소년","출장","17","관리자","참가","20230501","M"
"0","서구(광주)","성인","출장","44","관리자","참가","20230501","M"
"1","성남","청소년","출장","15","관리자","참가","20230501","F"
"3","성남","청소년","출장","16","관리자","2등급","20230501","M"
"3","성남","청소년","출장","16","관리자","참가","20230501","F"
"1","성남","청소년","출장","16","관리자","참가","20230501","F"
"1","서구(광주)","성인","일반","39","관리자","참가","20230501","F"
"0","성남","청소년","출장","15","관리자","1등급","20230501","F"
"1","양평","유소년","출장","12","관리자","참가","20230501","F"
"1","성남","청소년","출장","16","관리자","2등급","20230501","M"
"1","양평","유소년","출장","12","관리자","참가","20230501","F"
"1","양평","유소년","출장","12","관리자","3등급","20230501","M"
"1","성남","청소년","출장","16","관리자","참가","20230501","F"
"1","서구(광주)","성인","출장","41","관리자","참가","20230501","M"
"3","성남","청소년","출장","16","관리자","1등급","20230501","F"
